time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0:08:30,50,,,,,,,,,,,,,
0:08:40,49,50,,,,,,,,,,,,
0:08:50,48,49,50,,,,,,,,,,,
0:09:00,47,48,49,,,,,,,,,,,
0:09:10,46,47,48,50,,,,,,,,,,
0:09:20,45,46,47,49,50,,,,,,,,,
0:09:30,44,45,46,48,49,50,,,,,,,,
0:09:40,43,44,45,47,48,49,50,,,,,,,
0:09:50,42,43,44,46,47,48,49,50,,,,,,
0:10:00,41,42,43,45,46,47,48,49,50,,,,,
0:10:10,40,41,42,44,45,46,47,48,49,50,,,,
0:10:20,39,40,41,43,44,45,46,47,48,49,50,,,
0:10:30,38,39,40,42,43,44,45,46,47,48,49,50,,
0:10:40,38,38,39,41,42,43,44,45,46,47,48,49,50,
0:10:50,37,38,38,40,41,42,43,44,45,46,47,48,49,50
0:11:00,37,37,38,39,40,41,42,43,44,45,46,47,48,49
0:11:10,36,37,37,38,39,40,41,42,43,44,45,46,47,48
0:11:20,36,36,37,38,38,39,40,41,42,43,44,45,46,47
0:11:30,35,36,36,37,38,38,39,40,41,42,43,44,45,46
0:11:40,35,35,36,37,37,38,38,39,40,41,42,43,44,45
0:11:50,34,35,35,36,37,37,38,38,39,40,41,42,43,44
0:12:00,33,34,35,36,36,37,37,38,38,39,40,41,42,43
0:12:10,32,33,34,35,36,36,37,37,38,38,39,40,41,42
0:12:20,31,32,33,35,35,36,36,37,37,38,38,39,40,41
0:12:30,30,31,32,34,35,35,36,36,37,37,38,38,39,40
0:12:40,29,30,31,33,34,35,35,36,36,37,37,38,38,39
0:12:50,28,29,30,32,33,34,35,35,36,36,37,37,38,38
0:13:00,27,28,29,31,32,33,34,35,35,36,36,37,37,38
0:13:10,26,27,28,30,31,32,33,34,35,35,36,36,37,37
0:13:20,25,26,27,29,30,31,32,33,34,35,35,36,36,37
0:13:30,24,25,26,28,29,30,31,32,33,34,35,35,36,36
0:13:40,23,24,25,27,28,29,30,31,32,33,34,35,35,36
0:13:50,22,23,24,26,27,28,29,30,31,32,33,34,35,35
0:14:00,21,22,23,25,26,27,28,29,30,31,32,33,34,35
0:14:10,20,21,22,24,25,26,27,28,29,30,31,32,33,34
0:14:20,19,20,21,23,24,25,26,27,28,29,30,31,32,33
0:14:30,18,19,20,22,23,24,25,26,27,28,29,30,31,32
0:14:40,16,18,19,21,22,23,24,25,26,27,28,29,30,31
0:14:50,14,16,18,20,21,22,23,24,25,26,27,28,29,30
0:15:00,12,14,16,19,20,21,22,23,24,25,26,27,28,29
0:15:10,10,12,14,18,19,20,21,22,23,24,25,26,27,28
0:15:20,8,10,12,16,18,19,20,21,22,23,24,25,26,27
0:15:30,6,8,10,14,16,18,19,20,21,22,23,24,25,26
0:15:40,4,6,8,12,14,16,18,19,20,21,22,23,24,25
0:15:50,2,4,6,10,12,14,16,18,19,20,21,22,23,24
0:16:00,1,2,4,8,10,12,14,16,18,19,20,21,22,23
0:16:10,0,1,2,6,8,10,12,14,16,18,19,20,21,22
0:16:20,0,0,1,4,6,8,10,12,14,16,18,19,20,21
0:16:30,0,0,0,2,4,6,8,10,12,14,16,18,19,20
0:16:40,0,0,0,1,2,4,6,8,10,12,14,16,18,19
0:16:50,0,0,0,0,1,2,4,6,8,10,12,14,16,18
0:17:00,0,0,0,0,0,1,2,4,6,8,10,12,14,16
0:17:10,0,0,0,0,0,0,1,2,4,6,8,10,12,14
0:17:20,0,0,0,0,0,0,0,1,2,4,6,8,10,12
0:17:30,0,0,0,0,0,0,0,0,1,2,4,6,8,10
0:17:40,0,0,0,0,0,0,0,0,0,1,2,4,6,8
0:17:50,0,0,0,0,0,0,0,0,0,0,1,2,4,6
0:18:00,0,0,0,0,0,0,0,0,0,0,0,1,2,4
0:18:10,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0:18:20,0,0,0,0,0,0,0,0,0,0,0,0,0,1